 name, length, area, discipline
Ants Line,80,Gunks,Traditional
MF,75,Gunks,Traditional
Last Frontier,40,Gunks,Traditional
Simple Stuff,60,Gunks,Traditional
Cataclysm,12,Gunks,Boulder
Venus in Scorpio,10,Gunks,Boulder
Black Gold,60,Red River Gorge,Sport
Transworld Depravity,120,Red River Gorge,Sport
Jesus Wept,80,Red River Gorge,Sport
Gene Wilder,90,Red River Gorge,Sport
Demon Seed,100,Red River Gorge,Sport
Rock Wars,80,Red River Gorge,Traditional
Ranger Rock,500,Yosemite,Traditional
Free Rider,3000,Yosemite,Traditional
Midnight Lightning,15,Yosemite,Boulder
Hatchling,12,Rocklands,Boulder
Splash of Red,15,Rocklands,Boulder
Paula Abdul,10,Rocklands,Boulder
Groove Train,140,Grampians,Sport
Lifestyling,60,Grampians,Sport
Wheel of Life,75,Grampians,Boulder
Kachoong,80,Arapiles,Traditional
Punks in the Gym,80,Arapiles,Mixed
Marie Rose,10,Fontainebleau,Boulder
The Island,12,Fontainebleau,Boulder
Big Island,12,Fontainebleau,Boulder
Biographie,100,Ceuse,Sport
Black Bean,120,Ceuse,Mixed
Free Willy,12,Hueco Tanks,Boulder
Sea of Pockets,300,Hueco Tanks,Sport
Speed Bump,8,Hueco Tanks,Boulder
Man Gum,15,Hueco Tanks,Boulder
See Spot Run,20,Hueco Tanks,Boulder
Tequila Sunrise,15,Hueco Tanks,Boulder
NE Face Pingora,1200,Wind River Range,Traditional
K Cracks,400,Wind River Range,Traditional
Black Elk,1000,Wind River Range,Traditional
